entity_raw,canonical_entity
shortness of breath,dyspnea
gerd,gastroesophageal reflux disease
tylenol,acetaminophen
coumadin,warfarin
novolin,insulin isophane
levaquin,levofloxacin
percocet,oxycodone/acetaminophen
colace,docusate
"ptosis, loss of vision",vision loss
renal problems,kidney disease
lovenox,enoxaparin
atrovent,ipratropium
nexium,esomeprazole
augmentin,amoxicillin/clavulanate
cardizem,diltiazem
imuran,azathioprine
maxzide,triamterene/hydrochlorothiazide
bumex,bumetanide
dilantin,phenytoin
zonegran,zonisamide
pulmicort,budesonide
convulsive seizure,seizure
micardis,telmisartan
complaint of allergies,complaint of allergies
allergies,allergies
claritin,claritin
zyrtec,zyrtec
asthma,asthma
tri-cyclen,tricyclen
"allergic rhinitis.,plan:,1",allergic rhinitis2
loratadine,loratadine
nasonex,nasonex
snoring,snoring
pains,pains
knee pain,knee pain
pain,pain
ankle pain,ankle pain
swelling,swelling
"gastroesophageal reflux disease.,past",gastroesophageal reflux disease
heart disease,heart disease
stroke,stroke
diabetes,diabetes
denies obesity,denies obesity
hypertension,hypertension
allergic,allergic
chest pain,chest pain
coronary artery disease,coronary disease
congestive heart failure,congestive heart failure
arrhythmia,arrhythmia
atrial fibrillation,atrial fibrillation
cholesterol,cholesterol
pulmonary embolism,pulmonary embolus
cva,cva
venous insufficiency,venous insufficiency
thrombophlebitis,thrombophlebitis
copd,copd
emphysema,emphysema
apnea,apnea
osteoarthritis,osteoarthritis
rheumatoid arthritis,rheumatoid arthritis
hernia,hernia
peptic ulcer disease,peptic ulcer disease
gallstones,gallstones
pancreatitis,pancreatitis
fatty liver,fatty liver
hepatitis,hepatitis
hemorrhoids,hemorrhoids
bleeding,bleeding
incontinence,incontinence
urinary stress incontinence,urinary incontinence
cancer,cancer
denies cellulitis,denies cellulitis
pseudotumor,pseudotumor
meningitis,meningitis
afebrile,afebrile
overweight,overweight
weight loss,weight loss
alcohol,alcohol
diabetic,diabetic
back pain,back pain
"hemorrhoids.,past",hemorrhoidspast
obesity,obesity
diovan,diovan
crestor,crestor
heart attacks,heart attacks
chantix,chantix
gout,gout
denies shortness of breath,denies shortness of breath
denies thyroid problems,denies thyroid problems
cellulitis,cellulitis
wheezing,wheezing
pitting,pitting
infection,infection
venous thrombosis,venous thrombosis
bowel obstruction,bowel obstruction
pylori,pylori
atrial enlargement,atrial enlargement
pulmonary regurgitation,pulmonary regurgitation
