mention_id,doc_id,entity_text,entity_norm,entity_type,source,specialty,manual_canonical
0,2050,fractures,fractures,Disease,scispacy,orthopedic,fracture
1,4155,injury and illness,injury and illness,Disease,scispacy,consult - history and phy.,injury and illness
2,4782,non-small cell lung cancer,non-small cell lung cancer,Disease,scispacy,cardiovascular / pulmonary,non-small cell lung cancer
3,3811,cramping,cramping,Disease,scispacy,emergency room reports,cramp
4,2328,"nausea,",nausea,Disease,scispacy,orthopedic,nausea
5,3285,edema,edema,Disease,scispacy,general medicine,edema
6,4359,mood swings,mood swings,Disease,scispacy,consult - history and phy.,mood swing
7,1269,shortness of breath,shortness of breath,Disease,scispacy,soap / chart / progress notes,dyspnea
8,3591,polyps,polyps,Disease,scispacy,gastroenterology,polyp
9,3326,redness,redness,Disease,scispacy,general medicine,redness
10,1526,fatigue,fatigue,Disease,scispacy,radiology,fatigue
11,3979,throat,throat,Disease,scispacy,dentistry,SKIP
12,4126,tinnitus,tinnitus,Disease,scispacy,consult - history and phy.,tinnitus
13,3348,congestion,congestion,Disease,scispacy,general medicine,congestion
14,1007,palate,palate,Disease,scispacy,surgery,SKIP
15,815,malnutrition,malnutrition,Disease,scispacy,surgery,malnutrition
16,4678,pleural effusion,pleural effusion,Disease,scispacy,cardiovascular / pulmonary,pleural effusion
17,3963,erythema nodosum,erythema nodosum,Disease,scispacy,dermatology,erythema nodosum
18,1812,pain,pain,Disease,scispacy,podiatry,pain
19,2557,rupture,rupture,Disease,scispacy,obstetrics / gynecology,rupture
20,48,edema,edema,Disease,scispacy,urology,edema
21,826,occult barrett,occult barrett,Disease,scispacy,surgery,occult barrett
22,4369,fracture,fracture,Disease,scispacy,consult - history and phy.,fracture
23,4521,dermatosis,dermatosis,Disease,scispacy,consult - history and phy.,dermatosis
24,529,left ventricular dysfunction,left ventricular dysfunction,Disease,scispacy,surgery,left ventricular dysfunction
25,4306,insomnia,insomnia,Disease,scispacy,consult - history and phy.,insomnia
26,2173,thoracolumbar subluxation,thoracolumbar subluxation,Disease,scispacy,orthopedic,thoracolumbar subluxation
27,2066,tenderness,tenderness,Disease,scispacy,orthopedic,tenderness
28,4222,lung cancer,lung cancer,Disease,scispacy,consult - history and phy.,lung cancer
29,4477,thrush,thrush,Disease,scispacy,consult - history and phy.,thrush
30,1767,delirium,delirium,Disease,scispacy,psychiatry / psychology,delirium
31,2943,snoring,snoring,Disease,scispacy,neurology,snoring
32,175,sphincter deficiency,sphincter deficiency,Disease,scispacy,urology,sphincter deficiency
33,825,bleeding,bleeding,Disease,scispacy,surgery,bleeding
34,3809,hyperkalemia,hyperkalemia,Disease,scispacy,emergency room reports,hyperkalemia
35,3552,reflux symptoms,reflux symptoms,Disease,scispacy,gastroenterology,reflux symptoms
36,451,"ptosis, loss of vision",ptosis loss of vision,Disease,scispacy,surgery,vision loss
37,3443,proctitis,proctitis,Disease,scispacy,gastroenterology,proctitis
38,3963,skin rash,skin rash,Disease,scispacy,dermatology,skin rash
39,3858,right knee pain,right knee pain,Disease,scispacy,discharge summary,right knee pain
40,1578,psoriasis,psoriasis,Disease,scispacy,radiology,psoriasis
41,4547,herniation,herniation,Disease,scispacy,chiropractic,herniation
42,2895,mitral valve with regurgitation,mitral valve with regurgitation,Disease,scispacy,neurology,mitral valve with regurgitation
43,4170,perineum,perineum,Disease,scispacy,consult - history and phy.,SKIP
44,3307,oropharyngeal lesions,oropharyngeal lesions,Disease,scispacy,general medicine,oropharyngeal lesions
45,1136,bipolar,bipolar,Disease,scispacy,surgery,bipolar
46,3477,hydronephrosis,hydronephrosis,Disease,scispacy,gastroenterology,hydronephrosis
47,3387,"time.,3",time3,Disease,scispacy,general medicine,SKIP
48,1968,shortness of breath,shortness of breath,Disease,scispacy,pain management,dyspnea
49,3834,orthostatic hypotension,orthostatic hypotension,Disease,scispacy,discharge summary,orthostatic hypotension
50,1898,nasal congestion,nasal congestion,Disease,scispacy,pediatrics - neonatal,nasal congestion
51,3399,asthma,asthma,Disease,scispacy,general medicine,asthma
52,2557,oligohydramnios,oligohydramnios,Disease,scispacy,obstetrics / gynecology,oligohydramnios
53,1110,tumor,tumor,Disease,scispacy,surgery,tumor
54,377,renal problems,renal problems,Disease,scispacy,surgery,kidney disease
55,2836,obesity,obesity,Disease,scispacy,neurology,obesity
56,2916,normocephalic,normocephalic,Disease,scispacy,neurology,normocephalic
57,848,gerd,gerd,Disease,abbrev_dict,surgery,gastroesophageal reflux disease
58,2765,convulsive seizure,convulsive seizure,Disease,scispacy,neurology,seizure
59,2573,abnormal vaginal bleeding,abnormal vaginal bleeding,Disease,scispacy,obstetrics / gynecology,vaginal bleeding
60,4478,pain,pain,Disease,scispacy,consult - history and phy.,pain
61,3478,bleeding,bleeding,Disease,scispacy,gastroenterology,bleeding
62,4390,pain,pain,Disease,scispacy,consult - history and phy.,pain
63,854,bleeding,bleeding,Disease,scispacy,surgery,bleeding
64,1408,pain,pain,Disease,scispacy,soap / chart / progress notes,pain
65,3576,irritable bowel syndrome,irritable bowel syndrome,Disease,scispacy,gastroenterology,irritable bowel syndrome
66,1768,fatigue,fatigue,Disease,scispacy,psychiatry / psychology,fatigue
67,3528,"fashion.,bilateral groin",fashionbilateral groin,Disease,scispacy,gastroenterology,SKIP
68,4214,urinary tract infection,urinary tract infection,Disease,scispacy,consult - history and phy.,urinary tract infection
